Number, Name, Direction, Reference
0, CMD_NOOP, AP -> NCP, draft-rquattle-spinel-core
1, CMD_RESET, AP -> NCP, draft-rquattle-spinel-core
2, CMD_PROP_VALUE_GET, AP -> NCP, draft-rquattle-spinel-core
3, CMD_PROP_VALUE_SET, AP -> NCP, draft-rquattle-spinel-core
4, CMD_PROP_VALUE_INSERT, AP -> NCP, draft-rquattle-spinel-core
5, CMD_PROP_VALUE_REMOVE, AP -> NCP, draft-rquattle-spinel-core
6, CMD_PROP_VALUE_IS, NCP -> AP, draft-rquattle-spinel-core
7, CMD_PROP_VALUE_INSERTED, NCP -> AP, draft-rquattle-spinel-core
8, CMD_PROP_VALUE_REMOVED, NCP -> AP, draft-rquattle-spinel-core
9, CMD_NET_SAVE, AP -> NCP, draft-rquattle-spinel-network-save
10, CMD_NET_CLEAR, AP -> NCP, draft-rquattle-spinel-network-save
11, CMD_NET_RECALL, AP -> NCP, draft-rquattle-spinel-network-save
12, CMD_HBO_OFFLOAD, NCP -> AP, draft-rquattle-spinel-hbo
13, CMD_HBO_RECLAIM, NCP -> AP, draft-rquattle-spinel-hbo
14, CMD_HBO_DROP, NCP -> AP, draft-rquattle-spinel-hbo
15, CMD_HBO_OFFLOADED, AP -> NCP, draft-rquattle-spinel-hbo
16, CMD_HBO_RECLAIMED, AP -> NCP, draft-rquattle-spinel-hbo
17, CMD_HBO_DROPPED, AP -> NCP, draft-rquattle-spinel-hbo
18, CMD_PEEK, AP -> NCP, draft-rquattle-spinel-core
19, CMD_PEEK_RET, NCP -> AP, draft-rquattle-spinel-core
20, CMD_POKE, AP -> NCP, draft-rquattle-spinel-core
21, CMD_PROP_VALUE_MULTI_GET, AP -> NCP, draft-rquattle-spinel-core
22, CMD_PROP_VALUE_MULTI_SET, AP -> NCP, draft-rquattle-spinel-core
23, CMD_PROP_VALUES_ARE, NCP -> AP, draft-rquattle-spinel-core
24, CMD_RESET_NLI, AP -> NCP, draft-rquattle-spinel-core
25, CMD_ECHO, AP <-> NCP, draft-rquattle-spinel-core
